DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Charter,Departure,Domestic,4
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Commuter,Arrival,Domestic,226
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Commuter,Departure,Domestic,226
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Scheduled,Arrival,Domestic,2144
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Scheduled,Arrival,International,33
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Scheduled,Departure,Domestic,2142
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Scheduled,Departure,International,30
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Charter,Arrival,Domestic,9
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Charter,Departure,Domestic,7
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Commuter,Arrival,Domestic,209
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Commuter,Departure,Domestic,209
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Scheduled,Arrival,Domestic,2057
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Scheduled,Arrival,International,32
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Scheduled,Departure,Domestic,2058
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Scheduled,Departure,International,32
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Charter,Arrival,Domestic,3
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Charter,Departure,Domestic,2
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Charter,Departure,International,2
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Commuter,Arrival,Domestic,192
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Commuter,Departure,Domestic,192
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Scheduled,Arrival,Domestic,1848
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Scheduled,Arrival,International,28
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Scheduled,Departure,Domestic,1847
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Scheduled,Departure,International,28
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Charter,Arrival,Domestic,7
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Charter,Arrival,International,2
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Charter,Departure,Domestic,7
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Charter,Departure,International,2
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Commuter,Arrival,Domestic,225
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Commuter,Departure,Domestic,225
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Scheduled,Arrival,Domestic,2157
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Scheduled,Arrival,International,31
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Scheduled,Departure,Domestic,2162
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Scheduled,Departure,International,31
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Charter,Arrival,Domestic,5
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Charter,Departure,Domestic,8
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Commuter,Arrival,Domestic,120
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Commuter,Departure,Domestic,120
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Scheduled,Arrival,Domestic,2223
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Scheduled,Arrival,International,30
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Scheduled,Departure,Domestic,2216
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Scheduled,Departure,International,30
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Charter,Arrival,Domestic,9
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Charter,Departure,Domestic,5
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Commuter,Arrival,Domestic,123
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Commuter,Departure,Domestic,123
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Scheduled,Arrival,Domestic,2257
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Scheduled,Arrival,International,30
