DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Arrival,International,Freight,939
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Departure,Domestic,Freight,14515
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Departure,Domestic,Mail,577
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Departure,International,Freight,912
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Arrival,Domestic,Freight,13081
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Arrival,Domestic,Mail,1447
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Arrival,International,Freight,1050
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Departure,Domestic,Freight,16832
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Departure,Domestic,Mail,699
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Departure,International,Freight,916
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Arrival,Domestic,Freight,12364
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Arrival,Domestic,Mail,816
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Arrival,International,Freight,1359
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Departure,Domestic,Freight,15034
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Departure,Domestic,Mail,583
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Departure,International,Freight,751
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Arrival,Domestic,Freight,13006
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Arrival,Domestic,Mail,687
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Arrival,International,Freight,1021
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Departure,Domestic,Freight,15175
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Departure,Domestic,Mail,598
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Departure,International,Freight,803
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Arrival,Domestic,Freight,14324
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Arrival,Domestic,Mail,835
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Arrival,International,Freight,1135
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Departure,Domestic,Freight,15960
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Departure,Domestic,Mail,744
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Departure,International,Freight,802
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Arrival,Domestic,Freight,12723
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Arrival,Domestic,Mail,643
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Arrival,International,Freight,1045
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Departure,Domestic,Freight,14012
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Departure,Domestic,Mail,582
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Departure,International,Freight,739
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Arrival,Domestic,Freight,16988
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Arrival,Domestic,Mail,758
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Arrival,International,Freight,1315
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Departure,Domestic,Freight,17965
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Departure,Domestic,Mail,587
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Departure,International,Freight,862
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Arrival,Domestic,Freight,13640
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Arrival,Domestic,Mail,846
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Arrival,International,Freight,1070
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Departure,Domestic,Freight,14341
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Departure,Domestic,Mail,603
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Departure,International,Freight,772
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Arrival,Domestic,Freight,13203
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Arrival,Domestic,Mail,729
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Departure,Domestic,Freight,14796
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Departure,Domestic,Mail,622
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Departure,International,Freight,919
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Departure,International,Mail,1040
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Arrival,Domestic,Freight,13820
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Arrival,Domestic,Mail,948
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Arrival,International,Freight,1123
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Departure,Domestic,Freight,15468
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Departure,Domestic,Mail,710
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Departure,International,Freight,888
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Arrival,Domestic,Freight,13570
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Arrival,Domestic,Mail,907
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Arrival,International,Freight,1377
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Departure,Domestic,Freight,15197
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Departure,Domestic,Mail,772
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Departure,International,Freight,894
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Arrival,Domestic,Freight,12820
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Arrival,Domestic,Mail,802
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Arrival,International,Freight,1043
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Departure,Domestic,Freight,14506
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Departure,Domestic,Mail,670
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Departure,International,Freight,830
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Arrival,Domestic,Freight,14143
