DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Misc. Terminal,Arrival,International,635
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Misc. Terminal,Departure,Domestic,1027
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Misc. Terminal,Departure,International,99
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Terminal 2,Arrival,Domestic,64750
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Terminal 2,Departure,Domestic,63652
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Terminal 2,Departure,International,2643
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Terminal 4,Arrival,Domestic,164348
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Terminal 4,Departure,Domestic,161630
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,International Terminal,Arrival,International,2927
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Misc. Terminal,Arrival,Domestic,1040
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Misc. Terminal,Departure,Domestic,545
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Misc. Terminal,Departure,International,47
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Terminal 2,Arrival,Domestic,57786
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Terminal 2,Departure,Domestic,57537
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Terminal 2,Departure,International,2868
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Terminal 4,Arrival,Domestic,146764
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Terminal 4,Departure,Domestic,145318
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,International Terminal,Arrival,International,2912
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Misc. Terminal,Arrival,Domestic,152
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Misc. Terminal,Arrival,International,447
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Misc. Terminal,Departure,Domestic,782
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Terminal 2,Arrival,Domestic,57392
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Terminal 2,Departure,Domestic,57929
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Terminal 2,Departure,International,3248
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Terminal 4,Arrival,Domestic,151565
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Terminal 4,Departure,Domestic,147933
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,International Terminal,Arrival,International,3466
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Misc. Terminal,Arrival,Domestic,327
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Misc. Terminal,Departure,Domestic,170
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Terminal 2,Arrival,Domestic,46000
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Terminal 2,Departure,Domestic,44465
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Terminal 2,Departure,International,3119
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Terminal 4,Arrival,Domestic,133603
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Terminal 4,Arrival,International,111
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Terminal 4,Departure,Domestic,133555
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Terminal 4,Departure,International,111
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,International Terminal,Arrival,International,2732
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Misc. Terminal,Arrival,International,42
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Misc. Terminal,Departure,International,274
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Terminal 2,Arrival,Domestic,43384
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Terminal 2,Departure,Domestic,43200
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Terminal 2,Departure,International,2562
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Terminal 4,Arrival,Domestic,126934
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Terminal 4,Departure,Domestic,126325
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,International Terminal,Arrival,International,3116
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Misc. Terminal,Arrival,Domestic,275
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Misc. Terminal,Arrival,International,51
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Misc. Terminal,Departure,Domestic,46
