DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
05/01/2014 12:00:00 AM,09/01/2006 12:00:00 AM,Departure,International,Scheduled Carriers,659534
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Arrival,Domestic,Charter,1708
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Arrival,Domestic,Commuter,174781
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1630224
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Arrival,International,Charter,59
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Arrival,International,Commuter,1333
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Arrival,International,Scheduled Carriers,633220
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Departure,Domestic,Charter,2203
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Departure,Domestic,Commuter,168738
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1620376
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Departure,International,Commuter,1604
05/01/2014 12:00:00 AM,10/01/2006 12:00:00 AM,Departure,International,Scheduled Carriers,664175
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Arrival,Domestic,Charter,2248
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Arrival,Domestic,Commuter,160948
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1640008
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Arrival,International,Charter,431
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Arrival,International,Commuter,1377
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Arrival,International,Scheduled Carriers,606061
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Departure,Domestic,Charter,2075
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Departure,Domestic,Commuter,155248
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1638140
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Departure,International,Charter,172
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Departure,International,Commuter,1531
05/01/2014 12:00:00 AM,11/01/2006 12:00:00 AM,Departure,International,Scheduled Carriers,616820
05/01/2014 12:00:00 AM,12/01/2006 12:00:00 AM,Arrival,Domestic,Charter,2497
