CSR Number,LADBS Inspection District,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Street Zip,Date Received,Date Closed,Due Date,Case Flag,CSR Priority,GIS Parcel Identification Number(PIN),CSR Problem Type,Area Planning Commission (APC),Case Number Related to CSR,Response Days,Latitude/Longitude,CSR_CASE_NUMBER
317961,1133,1737,,S,5TH,AVE,,90019,10/28/2013,,11/26/2013,N,3,126B189   779,BUILDINGS IN NEED OF GENERAL REPAIR,South Los Angeles,,,"(34.04074, -118.32263)",317961-317961
329289,1132,3035,,S,5TH,AVE,,90018,05/29/2014,,06/26/2014,N,2,120B189   517,CONSTRUCTION IN PROGRESS WITHOUT PERMITS OR INSPECTIONS,South Los Angeles,,,"(34.02663, -118.32252)",329289-329289
322700,2121,3434,,E,5TH,ST,,90063,02/08/2014,,03/10/2014,N,3,123A227   182,BUSINESS OPERATED FROM A HOUSE OR GARAGE,East Los Angeles,,,"(34.03178, -118.1969)",322700-322700
322371,2121,3434,,E,5TH,ST,,90063,02/03/2014,,03/04/2014,N,3,123A227   182,BUSINESS OPERATED FROM A HOUSE OR GARAGE,East Los Angeles,,,"(34.03178, -118.1969)",322371-322371
332193,1133,4101,,W,5TH,ST,,90020,07/12/2014,,08/08/2014,N,3,135B193   648,MISCELLANEOUS COMPLAINTS,Central,,,"(34.06546, -118.30843)",332193-332193
328156,1133,1611,,S,6TH,AVE,,90019,05/08/2014,,06/06/2014,N,2,126B189   315,CONSTRUCTION DONE WITHOUT PERMITS OR INSPECTIONS,South Los Angeles,,,"(34.0432, -118.32383)",328156-328156
325832,1132,2220,,S,6TH,AVE,,90018,04/02/2014,,04/30/2014,N,2,123B189   136,CONSTRUCTION DONE WITHOUT PERMITS OR INSPECTIONS,South Los Angeles,,,"(34.0365, -118.32349)",325832-325832
328583,2121,3219,,E,6TH,ST,,90063,05/15/2014,,06/13/2014,N,2,123A225   115,BUILDING OR PROPERTY CONVERTED TO ANOTHER USE,East Los Angeles,,,"(34.03215, -118.20147)",328583-328583
330006,1133,3301,,W,6TH,ST,,90020,06/09/2014,,07/08/2014,N,3,135B197   966,TRASH OR DEBRIS ON PRIVATE PROPERTY,Central,,,"(34.06373, -118.29451)",330006-330006
327097,1132,3418,,S,6TH,AVE,,90018,04/22/2014,,05/20/2014,N,3,120B189   810,OVERGROWN OR EXCESSIVE VEGETATION,South Los Angeles,,,"(34.02489, -118.32345)",327097-327097
330343,1133,3450,,W,6TH,ST,,90005,06/13/2014,,07/14/2014,N,1,135B197  1021,BLOCKED EXITS PASSAGEWAYS OR WINDOWS,Central,,,"(34.06344, -118.2972)",330343-330343
