Street,Cross Street,Council District,NE Quantity Constructed,NE Date Completed,NW Quantity Constructed,NW Date Completed,SE Quantity Constructed,SE Date Completed,SW Quantity Constructed,SW Date Completed,Mid-Block or Alley Quantity Constructed,Mid-Block or Alley Date Completed,From Lat-Lon,To Lat-Lon
MARCH AV,COVELLO ST,12,1,11/05/2013,1,11/05/2013,0,,0,,0,,"(34.206927620000002, -118.64003226)","(34.207469740000001, -118.64075680000001)"
FLORENCE AV,5TH AV,8,1,11/06/2013,1,11/06/2013,0,,0,,0,,"(33.974568980000001, -118.32209421)","(33.974566950000003, -118.32262692)"
FLORENCE AV,5TH AV,8,0,,0,,1,11/13/2013,0,,0,,"(33.974568980000001, -118.32209421)","(33.974566950000003, -118.32262692)"
PLATT AV,KITTRIDGE ST,12,0,,1,11/08/2013,0,,1,11/08/2013,0,,"(34.189831339999998, -118.64282808999999)","(34.190682600000002, -118.64279103)"
PLATT AV,SATICOY ST,12,1,11/07/2013,0,,0,,1,11/07/2013,0,,,
SATICOY ST,KESWICK ST,12,0,,0,,1,11/06/2013,1,11/06/2013,0,,"(34.210213359999997, -118.63557238)","(34.211846649999998, -118.63880741)"
AVENUE 52,FIGUEROA ST,1,0,,1,11/15/2013,1,11/14/2013,1,11/15/2013,0,,"(34.106281670000001, -118.19950692)","(34.107331090000002, -118.20025532)"
AVENUE 52,LONGFELLOW ST,1,1,11/14/2013,0,,0,,0,,0,,"(34.103878039999998, -118.19735187000001)","(34.103762549999999, -118.1972303)"
SATICOY ST,SALE AV,12,1,11/15/2013,0,,1,11/15/2013,1,11/15/2013,0,,"(34.208257629999999, -118.61905578)","(34.208249969999997, -118.62342295000001)"
PICO BL,COCHRAN AV,10,1,11/15/2013,1,11/15/2013,0,,0,,0,,"(34.048232779999999, -118.35268013)","(34.04831111, -118.35374491)"
AVENUE 43,LATONA AV,1,0,,0,,1,11/20/2013,1,11/20/2013,0,,"(34.091059559999998, -118.20238612999999)","(34.091130339999999, -118.20186382)"
FLORENCE AV,3RD AV,8,0,,0,,1,11/19/2013,1,11/18/2013,0,,"(33.974574060000002, -118.32068058999999)","(33.97457051, -118.32165392)"
PICO BL,BURNSIDE AV,10,0,,1,11/20/2013,0,,0,,0,,"(34.048384460000001, -118.35474247000001)","(34.048460140000003, -118.35577170000001)"
PICO BL,DUNSMUIR AV,10,1,11/20/2013,1,11/19/2013,0,,0,,0,,"(34.04831111, -118.35374491)","(34.048384460000001, -118.35474247000001)"
