Street,Cross Street,Council District,NE Quantity Constructed,NE Date Completed,NW Quantity Constructed,NW Date Completed,SE Quantity Constructed,SE Date Completed,SW Quantity Constructed,SW Date Completed,Mid-Block or Alley Quantity Constructed,Mid-Block or Alley Date Completed,From Lat-Lon,To Lat-Lon
HEWITT ST,4TH ST,14,0,,0,,1,07/09/2013,1,07/09/2013,1,07/09/2013,"(34.043587090000003, -118.23537570000001)","(34.041795139999998, -118.23506114)"
NORMANDIE AV,88TH PL,8,0,,0,,0,,0,,1,07/24/2013,"(33.957450209999998, -118.30025159)","(33.956865829999998, -118.30025107)"
HOOVER ST,BEVERLY BL,13,1,08/06/2013,0,,0,,0,,2,08/06/2013,"(34.072782449999998, -118.28435998)","(34.070448980000002, -118.28433687)"
VENTURA BL,WILLIS AVE,4,0,,0,,0,,0,,1,08/13/2013,,
VENTURA BL,LINDLEY AV,3,0,,0,,0,,1,08/30/2013,1,08/29/2013,"(34.165436630000002, -118.52726626)","(34.16595444, -118.52891903)"
48TH ST,NORMANDIE AV,8,0,,0,,0,,1,09/19/2013,1,09/19/2013,"(34.000097599999997, -118.30017153)","(34.000084010000002, -118.30234802)"
NORMANDIE AV,42ND PL,9,0,,0,,0,,0,,1,09/24/2013,"(34.006050780000002, -118.30017773)","(34.005513579999999, -118.30017826)"
42ND PL,DENKER AV,8,0,,0,,0,,0,,2,09/25/2013,"(34.006074660000003, -118.30454549)","(34.0060778, -118.30568065999999)"
WESTERN AV,42ND PL,8,0,,0,,0,,0,,4,09/26/2013,"(34.006086699999997, -118.30891367)","(34.005500519999998, -118.30891373)"
52ND ST,3RD AV,8,0,,0,,0,,0,,2,09/27/2013,"(33.995036679999998, -118.3203362)","(33.995029160000001, -118.32142648999999)"
VAN NESS AV,60TH ST,8,0,,0,,0,,0,,2,10/01/2013,"(33.985491519999997, -118.31767155999999)","(33.984398220000003, -118.31767967)"
ZELZAH AV,PLUMMER ST,12,0,,1,10/04/2013,0,,0,,2,10/04/2013,"(34.242688680000001, -118.52324796000001)","(34.243136360000001, -118.52325214)"
FLORENCE AV,CIMARRON ST,8,0,,0,,0,,0,,1,11/20/2013,"(33.974579810000002, -118.31554886000001)","(33.974580539999998, -118.31587562)"
CANTERBURY AV,DEBELL ST,6,0,,0,,0,,0,,1,01/07/2014,"(34.221659899999999, -118.41730348999999)","(34.222941640000002, -118.41756144)"
53RD ST,WADSWORTH AV,9,0,,0,,0,,0,,1,02/06/2014,"(33.994259730000003, -118.26082581999999)","(33.994279800000001, -118.25863148000001)"
WOODLEY AV,PARTHENIA ST,12,0,,0,,0,,0,,2,02/06/2014,"(34.226574530000001, -118.4851468)","(34.228388430000003, -118.48512964)"
MCKINLEY AV,49TH PL,9,0,,0,,0,,0,,1,02/07/2014,,
MCKINLEY AV,45TH ST,9,0,,0,,0,,0,,1,02/11/2014,,
32ND ST,WADSWORTH AV,9,0,,0,,0,,0,,2,03/11/2014,"(34.015238519999997, -118.26044809)","(34.014781110000001, -118.25896693999999)"
32ND ST,WADSWORTH AV,9,0,,0,,0,,0,,2,03/11/2014,"(34.015238519999997, -118.26044809)","(34.014781110000001, -118.25896693999999)"
32ND ST,WADSWORTH AV,9,0,,0,,0,,0,,2,03/11/2014,"(34.015238519999997, -118.26044809)","(34.014781110000001, -118.25896693999999)"
CENTRAL AV,32ND ST,9,0,,0,,0,,0,,2,03/14/2014,"(34.0148473, -118.25651523000001)","(34.014575460000003, -118.25651433)"
42ND ST,WADSWORTH AV,9,0,,0,,0,,0,,1,03/17/2014,"(34.007524340000003, -118.26086626)","(34.007532550000001, -118.25893698)"
R ST,RONAN AV,15,0,,0,,0,,0,,1,04/17/2014,"(33.796431499999997, -118.27329134)","(33.7963831, -118.27423638)"
R ST,RONAN AV,15,0,,0,,0,,0,,0,04/17/2014,"(33.796431499999997, -118.27329134)","(33.7963831, -118.27423638)"
MILL ST,7TH ST,14,1,07/17/2013,1,07/17/2013,0,,0,,0,,,
WILCOX PL,LEXINGTON AV,13,0,,0,,1,07/16/2013,1,07/16/2013,0,,"(34.090727319999999, -118.33153514999999)","(34.092542690000002, -118.33154270999999)"
HARVARD BL,LOMA LINDA AV,13,0,,0,,0,,1,07/15/2013,0,,"(34.101746540000001, -118.30501605000001)","(34.102961380000004, -118.30502787)"
HOOPER AV,48TH PL,9,0,,0,,0,,1,07/16/2013,0,,"(33.999312740000001, -118.25211543)","(33.998920609999999, -118.25211443000001)"
WOODBINE ST,KEYSTONE AV,5,1,07/10/2013,1,07/11/2013,0,,1,07/11/2013,0,,"(34.026551060000003, -118.41165415)","(34.026037860000002, -118.41261623)"
OLYMPIC BL,HOOPER AV,14,0,,0,,1,07/19/2013,1,07/19/2013,0,,,
HONDURAS ST,48TH ST,9,0,,0,,0,,1,07/18/2013,0,,"(34.00017648, -118.24407127000001)","(33.999364730000003, -118.24406607)"
VERMONT AV,66TH ST,8,0,,1,07/18/2013,0,,1,07/18/2013,0,,"(33.979149419999999, -118.29155303)","(33.978196349999997, -118.29154789)"
VERMONT AV,71ST ST,8,0,,1,07/18/2013,0,,0,,0,,"(33.975498199999997, -118.29154818000001)","(33.974619619999999, -118.29154803)"
WESTLAKE AV,MARYLAND ST,1,1,07/18/2013,1,07/17/2013,1,07/18/2013,1,07/17/2013,0,,"(34.060730999999997, -118.27252670999999)","(34.058992809999999, -118.27363497)"
VERMONT AV,66TH ST,8,1,07/23/2013,0,,1,07/23/2013,0,,0,,"(33.979149419999999, -118.29155303)","(33.978196349999997, -118.29154789)"
VERMONT AV,71ST ST,8,1,07/22/2013,0,,1,07/22/2013,0,,0,,"(33.975498199999997, -118.29154818000001)","(33.974619619999999, -118.29154803)"
VERMONT AV,68TH ST,8,1,07/22/2013,0,,0,,0,,0,,"(33.978196349999997, -118.29154789)","(33.977851510000001, -118.29154945000001)"
NORMANDIE AV,IROLO ST,10,1,07/23/2013,0,,1,07/23/2013,0,,0,,"(34.053253169999998, -118.30026003)","(34.052623939999997, -118.30001591)"
CASTELLO AV,CASTELLO PL,5,1,01/09/2014,1,01/15/2014,1,01/15/2014,0,,0,,,
HONDURAS ST,46TH ST,9,0,,1,07/19/2013,0,,1,07/19/2013,0,,"(34.001821900000003, -118.24408164)","(34.000981330000002, -118.24407633)"
LIMA ST,43RD ST,9,0,,0,,1,07/24/2013,1,07/25/2013,0,,"(34.005749350000002, -118.2462585)","(34.003916740000001, -118.24622715)"
HOOVER ST,LEEWARD AV,1,0,,1,07/26/2013,0,,1,07/26/2013,0,,"(34.058738759999997, -118.28418825)","(34.05774203, -118.28421211)"
SHOUP AV,INGOMAR ST,3,1,07/26/2013,0,,1,07/26/2013,0,,0,,"(34.209180070000002, -118.61469077)","(34.211892210000002, -118.61469848)"
CORONADO ST,4TH ST,1,0,,1,07/22/2013,0,,0,,0,,"(34.064821199999997, -118.2785626)","(34.064493480000003, -118.27877149)"
CORONADO ST,3RD ST,1,0,,0,,0,,1,07/23/2013,0,,"(34.065630720000001, -118.27804694)","(34.064821199999997, -118.2785626)"
WILSHIRE PL,SUNSET PL,10,1,07/24/2013,0,,0,,0,,0,,"(34.060783989999997, -118.28782798)","(34.059788269999999, -118.28781764999999)"
WILSHIRE PL,SUNSET PL,1,0,,0,,1,07/24/2013,0,,0,,"(34.060783989999997, -118.28782798)","(34.059788269999999, -118.28781764999999)"
88TH ST,RUTHELEN ST,8,1,07/30/2013,1,07/30/2013,1,07/31/2013,1,07/31/2013,0,,"(33.958015619999998, -118.31282830000001)","(33.95801676, -118.31391686000001)"
88TH ST,WILTON PL,8,0,,1,07/29/2013,0,,0,,0,,"(33.958017929999997, -118.31501196000001)","(33.95801908, -118.31610533)"
88TH ST,HAAS AV,8,0,,0,,0,,1,07/29/2013,0,,"(33.958020169999998, -118.31715087000001)","(33.958020779999998, -118.31774344999999)"
88TH ST,GRAMERCY PL,8,1,07/26/2013,1,07/26/2013,0,,1,07/26/2013,0,,"(33.95801676, -118.31391686000001)","(33.958017929999997, -118.31501196000001)"
SHOUP AV,CARLSON CI,3,1,07/29/2013,0,,0,,0,,0,,"(34.196481849999998, -118.6146542)","(34.198299380000002, -118.61465951)"
SHOUP AV,SCHOOLCRAFT ST,3,1,08/02/2013,0,,1,08/02/2013,0,,0,,"(34.193733299999998, -118.61464621)","(34.196481849999998, -118.6146542)"
SHOUP AV,GILMORE ST,3,0,,0,,1,08/02/2013,0,,0,,"(34.186451460000001, -118.61462487)","(34.187754730000002, -118.61462865999999)"
BORDEN AV,TERRA BELLA ST,7,1,07/29/2013,0,,1,08/01/2013,1,07/31/2013,0,,"(34.269342139999999, -118.40127085)","(34.270122569999998, -118.40209639)"
BORDEN AV,GAIN ST,7,1,08/02/2013,1,07/31/2013,0,,1,08/01/2013,0,,"(34.270122569999998, -118.40209639)","(34.2716122, -118.40367213)"
103RD ST,GRAMERCY PL,8,1,08/06/2013,0,,1,08/06/2013,0,,0,,,
103RD ST,WESTERN AV,8,0,,1,08/07/2013,0,,1,08/07/2013,0,,"(33.943189320000002, -118.30901265)","(33.943190850000001, -118.31016119)"
SUNSET BL,WATERLOO ST,13,1,08/08/2013,1,08/07/2013,0,,0,,0,,"(34.078494229999997, -118.26695488999999)","(34.079008680000001, -118.26798703)"
GRAND VIEW ST,MIRAMAR ST,13,0,,0,,1,08/01/2013,0,,0,,"(34.064854070000003, -118.27414211)","(34.063984740000002, -118.2746968)"
VENDOME ST,DILLON ST,13,0,,1,08/05/2013,0,,0,,0,,"(34.081051989999999, -118.27630473000001)","(34.082566739999997, -118.2754164)"
CORONADO TE,BELLEVUE AV,13,0,,1,08/02/2013,0,,1,08/02/2013,0,,"(34.074106139999998, -118.27095506000001)","(34.07457831, -118.27066653999999)"
MOUNTAIN VIEW AV,MIRAMAR ST,13,1,07/29/2013,1,07/29/2013,0,,0,,0,,,
BEVERLY BL,MOUNTAIN VIEW AV,13,0,,0,,0,,1,07/30/2013,0,,"(34.066263720000002, -118.26938153)","(34.066423, -118.26973507)"
CORBIN AV,ARCHWOOD ST,3,0,,1,08/09/2013,0,,1,08/09/2013,0,,"(34.191042209999999, -118.56222959)","(34.192019670000001, -118.56223161)"
SHOUP AV,BESSEMER ST,3,0,,1,08/08/2013,0,,1,08/08/2013,0,,"(34.179193920000003, -118.61460384999999)","(34.180215949999997, -118.61460681)"
VENTURA BL,WILLIS AV,4,1,08/08/2013,0,,0,,0,,0,,"(34.151999850000003, -118.45523876)","(34.152220470000003, -118.45657104999999)"
VENTURA BL,NOBLE AV,4,0,,0,,0,,1,08/07/2013,0,,"(34.153083789999997, -118.46178500000001)","(34.153450739999997, -118.46400156999999)"
TOPHAM ST,OAKDALE AV,3,0,,0,,1,08/13/2013,1,08/13/2013,0,,"(34.184832839999999, -118.56473391)","(34.185221089999999, -118.56587866)"
VERMONT AV,65TH ST,8,0,,1,08/14/2013,0,,0,,0,,"(33.980519880000003, -118.29154957)","(33.980097860000001, -118.29154973)"
69TH ST,BUDLONG AV,8,0,,1,08/13/2013,1,08/13/2013,1,08/13/2013,0,,"(33.977023180000003, -118.29586546)","(33.977012600000002, -118.29806619)"
TAMPA AV,LANARK ST,3,0,,1,08/14/2013,0,,1,08/14/2013,0,,"(34.2156205, -118.5535435)","(34.217436470000003, -118.55354758999999)"
PRINCESS DR,CHESTNUT AV,14,0,,0,,1,08/05/2013,1,08/05/2013,0,,"(34.114514550000003, -118.17607046000001)","(34.114256310000002, -118.17578832)"
TAMPA AV,LINNET ST,3,0,,0,,1,08/15/2013,0,,0,,"(34.167647289999998, -118.55345126)","(34.169065889999999, -118.55345443)"
VANALDEN AV,COLLINS ST,3,1,08/16/2013,0,,1,08/16/2013,0,,0,,"(34.173779099999997, -118.55009622999999)","(34.174160139999998, -118.55009698000001)"
VERMONT AV,73RD ST,8,0,,1,08/16/2013,0,,1,08/16/2013,0,,"(33.973622579999997, -118.29154714000001)","(33.972656370000003, -118.29154724)"
CAHILL AV,MIRANDA ST,3,1,08/19/2013,0,,1,08/19/2013,0,,0,,"(34.174378060000002, -118.54905393999999)","(34.175213399999997, -118.54905540999999)"
AVENUE 66,YORK BL,14,0,,0,,1,08/19/2013,1,08/19/2013,0,,"(34.113834699999998, -118.17981775)","(34.114743269999998, -118.17901682)"
AVENUE 66,THORNE ST,14,0,,1,08/16/2013,0,,1,08/16/2013,0,,"(34.113117350000003, -118.18007669000001)","(34.112465759999999, -118.18089723)"
AVENUE 66,THORNE ST,14,1,08/05/2013,0,,1,08/16/2013,0,,0,,"(34.113117350000003, -118.18007669000001)","(34.112465759999999, -118.18089723)"
ARROYO GLEN ST,HAYES AV,14,0,,0,,1,08/15/2013,1,08/15/2013,0,,"(34.113661370000003, -118.18618478)","(34.113093429999999, -118.18506066)"
SUNSET BL,SANBORN AV,13,0,,0,,0,,1,08/14/2013,0,,,
SUNSET BL,MANZANITA ST,13,0,,0,,1,08/14/2013,1,08/12/2013,0,,"(34.093773429999999, -118.28183497000001)","(34.094633340000001, -118.28280157)"
RESERVOIR ST,ALLESANDRO ST,13,0,,1,08/13/2013,0,,0,,0,,"(34.079483930000002, -118.26361552)","(34.079852510000002, -118.26446448999999)"
BERKELEY AV,LEMOYNE ST,13,0,,1,08/09/2013,0,,0,,0,,"(34.082038369999999, -118.25700109)","(34.082418930000003, -118.25788451)"
SANTA MONICA BL,COMMONWEALTH AV,13,1,08/15/2013,1,08/15/2013,0,,0,,0,,"(34.090869869999999, -118.28552557)","(34.09087048, -118.28672107)"
VERMONT AV,74TH ST,8,1,08/19/2013,1,08/20/2013,1,08/20/2013,0,,0,,"(33.972656370000003, -118.29154724)","(33.971688870000001, -118.29154643)"
DONNA AV,COLLINS ST,3,0,,0,,1,08/20/2013,0,,0,,"(34.174175200000001, -118.54750525)","(34.174499419999997, -118.54750591)"
MIRANDA ST,HARLENE PL,3,0,,1,08/21/2013,0,,0,,0,,"(34.1744883, -118.52782121)","(34.174519060000002, -118.52847552999999)"
SOUTHWEST BL,IMPERIAL HWY,8,1,08/29/2013,1,08/29/2013,0,,0,,0,,,
SOUTHWEST BL,VERMONT AV,8,1,08/29/2013,0,,1,08/29/2013,0,,0,,,
OTIS AV,WELLS DR,3,1,08/26/2013,0,,1,08/26/2013,0,,0,,"(34.16132065, -118.53552712)","(34.163212610000002, -118.53552977)"
WELLS DR,AVENIDA HACIENDA,3,0,,1,08/23/2013,0,,1,08/23/2013,0,,"(34.16321421, -118.53403503)","(34.163212610000002, -118.53552977)"
MELROSE AV,HARVARD BL,13,1,09/06/2013,0,,0,,0,,0,,"(34.08353623, -118.30393648)","(34.083532750000003, -118.30460241)"
OTIS AV,LINNET ST,3,0,,1,08/27/2013,0,,1,08/27/2013,0,,"(34.163212610000002, -118.53552977)","(34.16573185, -118.53553328)"
VENTURA BL,GARDEN GROVE AV,3,0,,0,,1,08/28/2013,0,,0,,"(34.16595444, -118.52891903)","(34.166264310000003, -118.52976903)"
MIRANDA ST,LINDLEY AV,3,0,,1,08/21/2013,0,,1,08/22/2013,0,,"(34.174471660000002, -118.52727939)","(34.1744883, -118.52782121)"
LA RIBA WAY,AVENUE 64,14,1,08/27/2013,0,,1,08/27/2013,0,,0,,,
ECHO ST,BERTHA ST,14,1,08/26/2013,0,,1,08/26/2013,0,,0,,"(34.111961659999999, -118.18666383)","(34.112122489999997, -118.18653203)"
HAYES AV,ECHO ST,14,1,08/15/2013,1,08/15/2013,1,08/20/2013,1,08/20/2013,0,,"(34.11187735, -118.18605343)","(34.112734770000003, -118.18535301)"
AVENUE 63,ARROYO GLEN ST,14,0,,0,,0,,1,08/21/2013,0,,"(34.113431349999999, -118.18387198000001)","(34.112857589999997, -118.1845939)"
AVENUE 63,ARROYO GLEN ST,14,0,,0,,1,08/20/2013,1,08/20/2013,0,,"(34.113431349999999, -118.18387198000001)","(34.112857589999997, -118.1845939)"
AVENUE 63,ARROYO GLEN ST,14,1,08/21/2013,0,,1,08/21/2013,1,08/23/2013,0,,"(34.113431349999999, -118.18387198000001)","(34.112857589999997, -118.1845939)"
VERMONT AV,108TH ST,8,1,08/30/2013,0,,0,,0,,0,,"(33.938203940000001, -118.29164073)","(33.937309880000001, -118.29160974)"
HAMLET ST,NEWLAND ST,14,0,,1,08/30/2013,0,,1,08/30/2013,0,,"(34.116337600000001, -118.18514174000001)","(34.116807450000003, -118.18466170000001)"
IRONDALE AV,DOLOROSA ST,3,0,,1,09/03/2013,0,,0,,0,,"(34.169472079999998, -118.58540524999999)","(34.17022497, -118.58540704000001)"
NEVA PL,FAYETTE ST,14,1,09/05/2013,1,09/05/2013,0,,0,,0,,,
BRANCH ST,FAYETTE ST,14,1,09/05/2013,0,,0,,0,,0,,"(34.118868519999999, -118.18611264)","(34.120180589999997, -118.18623547999999)"
COLLINS ST,COLLINS PL,3,1,09/05/2013,1,09/04/2013,0,,0,,0,,"(34.173419180000003, -118.58505673000001)","(34.173441160000003, -118.58696860000001)"
VERMONT AV,107TH ST,8,1,09/04/2013,0,,0,,0,,0,,"(33.939056020000002, -118.29163884)","(33.938203940000001, -118.29164073)"
BEVERLY BL,CATALINA ST,13,0,,0,,1,09/03/2013,1,09/03/2013,0,,,
BEVERLY BL,BERENDO ST,13,1,08/26/2013,1,08/26/2013,1,08/28/2013,1,08/28/2013,0,,"(34.076315889999997, -118.29442654)","(34.076311240000003, -118.29543934)"
BEVERLY BL,KENMORE AV,13,0,,0,,1,08/29/2013,1,08/29/2013,0,,"(34.076304239999999, -118.29695343)","(34.07630168, -118.29751118999999)"
VERMONT AV,106TH ST,8,1,09/05/2013,0,,1,09/05/2013,0,,0,,"(33.939880680000002, -118.29163702)","(33.939056020000002, -118.29163884)"
PLATT AV,CALIFA ST,3,1,09/09/2013,0,,1,09/09/2013,0,,0,,"(34.175511200000003, -118.64299814)","(34.177866530000003, -118.64300543)"
MERIDIAN ST,TOLEDO ST,14,1,09/09/2013,1,09/09/2013,0,,0,,0,,"(34.12034165, -118.19077717)","(34.120249729999998, -118.19026212999999)"
ALDAMA ST,FAYETTE ST,14,0,,1,09/09/2013,0,,0,,0,,"(34.119100119999999, -118.18900326000001)","(34.119370170000003, -118.18893374)"
VERMONT AV,104TH PL,8,1,09/09/2013,0,,1,09/09/2013,0,,0,,"(33.941501950000003, -118.29163342)","(33.940705340000001, -118.29163518999999)"
VERMONT AV,104TH ST,8,1,09/10/2013,0,,1,09/10/2013,0,,0,,"(33.942316920000003, -118.29163163)","(33.941501950000003, -118.29163342)"
VERMONT AV,102ND ST,8,1,09/11/2013,0,,1,09/11/2013,0,,0,,"(33.943751419999998, -118.29162843)","(33.94303421, -118.29163002999999)"
TAMPA AV,CANTARA ST,3,1,09/11/2013,0,,1,09/11/2013,0,,0,,"(34.217436470000003, -118.55354758999999)","(34.219250549999998, -118.55355110000001)"
VERMONT AV,101ST ST,8,1,09/12/2013,0,,1,09/12/2013,0,,0,,"(33.944584329999998, -118.29162657000001)","(33.943751419999998, -118.29162843)"
PLATT AV,CALVERT ST,3,0,,0,,1,09/12/2013,0,,0,,"(34.179230240000003, -118.64300964)","(34.181576409999998, -118.64298881000001)"
CHATSWORTH DR,MASCARELL AV,7,0,,1,09/11/2013,0,,1,09/11/2013,0,,"(34.268820409999996, -118.45552687999999)","(34.267742640000002, -118.45700438999999)"
CHATSWORTH DR,KESTER AV,7,0,,1,09/12/2013,0,,1,09/12/2013,0,,"(34.267266020000001, -118.45765768)","(34.266589629999999, -118.45858475999999)"
CHATSWORTH DR,WOLCOTT PL,7,1,09/13/2013,0,,0,,0,,0,,"(34.267742640000002, -118.45700438999999)","(34.267266020000001, -118.45765768)"
CHATSWORTH DR,NOBLE AV,7,0,,1,09/13/2013,0,,0,,0,,"(34.26506122, -118.46067947)","(34.264508130000003, -118.4614375)"
BRANCH ST,YORK BL,14,0,,1,09/12/2013,0,,0,,0,,"(34.117282340000003, -118.1859642)","(34.118868519999999, -118.18611264)"
YORK BL,NOLDEN ST,14,1,09/11/2013,1,09/11/2013,0,,0,,0,,"(34.119401140000001, -118.19669622000001)","(34.119137019999997, -118.19521003)"
YORK BL,MILWAUKEE AV,14,0,,1,09/11/2013,0,,1,09/11/2013,0,,"(34.118872840000002, -118.19372359)","(34.118608930000001, -118.19223875)"
VERMONT AV,64TH ST,8,1,09/17/2013,0,,0,,0,,0,,"(33.980983250000001, -118.29154939999999)","(33.980519880000003, -118.29154957)"
MELROSE AV,HOBART BL,13,1,09/04/2013,0,,0,,0,,0,,"(34.0835267, -118.30575952)","(34.083520640000003, -118.30691624000001)"
MELROSE AV,OXFORD AV,13,1,09/05/2013,0,,0,,0,,0,,"(34.083515009999999, -118.30798875000001)","(34.083508930000001, -118.30914516999999)"
BURBANK BL,PONCE AV,3,1,09/16/2013,1,09/16/2013,0,,0,,0,,"(34.171926249999999, -118.62113201)","(34.171921789999999, -118.62331570000001)"
BURBANK BL,SALE AV,3,0,,1,09/18/2013,0,,0,,0,,"(34.171930670000002, -118.61894967000001)","(34.171926249999999, -118.62113201)"
43RD ST,2ND AV,10,1,07/12/2013,1,07/12/2013,1,07/15/2013,2,07/15/2013,0,,"(34.005467629999998, -118.31927173)","(34.00546361, -118.32034648)"
43RD ST,3RD AV,10,1,07/10/2013,1,07/11/2013,1,07/10/2013,1,07/10/2013,0,,"(34.00546361, -118.32034648)","(34.00546198, -118.32077541)"
43RD ST,ARLINGTON AV,10,0,,1,07/17/2013,0,,1,07/17/2013,0,,"(34.005471649999997, -118.31821599)","(34.005467629999998, -118.31927173)"
43RD ST,ARLINGTON AV,8,1,07/18/2013,0,,1,07/18/2013,0,,0,,"(34.005471649999997, -118.31821599)","(34.005467629999998, -118.31927173)"
FALLBROOK AV,BERDON ST,3,1,09/17/2013,0,,1,09/17/2013,0,,0,,"(34.170108480000003, -118.62331048)","(34.171015269999998, -118.62331308)"
FALLBROOK AV,DOLOROSA ST,3,1,09/20/2013,1,09/19/2013,1,09/20/2013,1,09/19/2013,0,,"(34.169201829999999, -118.62330789000001)","(34.170108480000003, -118.62331048)"
HALLDALE AV,42ND PL,8,0,,0,,1,09/23/2013,0,,0,,"(34.006065339999999, -118.30234230000001)","(34.003702629999999, -118.30234470000001)"
FALLBROOK AV,CLARENDON ST,3,1,09/23/2013,0,,1,09/23/2013,0,,0,,"(34.168295399999998, -118.6233053)","(34.169201829999999, -118.62330789000001)"
CHATSWORTH ST,ORION AV,7,0,,0,,1,09/16/2013,1,09/16/2013,0,,"(34.264572940000001, -118.47116698000001)","(34.264578460000003, -118.4720547)"
ARLETA AV,DUCAT ST,7,0,,0,,1,09/20/2013,0,,0,,"(34.265137959999997, -118.44934133)","(34.266626520000003, -118.45076584)"
CHAMBERLAIN ST,CHATSWORTH ST,7,0,,1,09/20/2013,0,,0,,0,,,
ARLETA AV,CHAMBERLAIN ST,7,1,09/19/2013,0,,1,09/19/2013,0,,0,,"(34.264047810000001, -118.44904160999999)","(34.265137959999997, -118.44934133)"
ARLETA AV,CHATSWORTH ST,7,1,09/18/2013,0,,1,09/18/2013,1,09/18/2013,0,,"(34.262027240000002, -118.44718973000001)","(34.264047810000001, -118.44904160999999)"
CHAMBERLAIN ST,CHATSWORTH ST,7,0,,0,,1,09/18/2013,0,,0,,,
MELROSE AV,MARIPOSA AV,13,0,,0,,1,09/17/2013,1,09/17/2013,0,,,
MELROSE AV,BERENDO ST,13,0,,0,,1,09/18/2013,1,09/18/2013,0,,"(34.083583859999997, -118.294946)","(34.08358192, -118.29531391)"
MELROSE AV,COMMONWEALTH AV,13,0,,0,,1,09/23/2013,1,09/23/2013,0,,"(34.083589150000002, -118.2856397)","(34.083588980000002, -118.28682866)"
MELROSE AV,NEW HAMPSHIRE AV,13,0,,0,,1,09/20/2013,1,09/20/2013,0,,"(34.083594669999997, -118.29288917)","(34.083588489999997, -118.29406554000001)"
VALLEYHEART DR,ETHEL AV,2,0,,0,,0,,1,04/18/2014,0,,"(34.148048950000003, -118.41838380999999)","(34.149317400000001, -118.42209222)"
FALLBROOK AV,MARIANO ST,3,1,09/25/2013,1,09/27/2013,1,09/25/2013,1,09/26/2013,0,,"(34.16792925, -118.62330421999999)","(34.168295399999998, -118.6233053)"
FALLBROOK AV,OSTRONIC DR,3,0,,0,,0,,1,09/27/2013,0,,"(34.167096880000003, -118.62330185)","(34.16792925, -118.62330421999999)"
FALLBROOK AV,LEONORA DR,3,1,09/27/2013,1,10/01/2013,0,,1,10/01/2013,0,,"(34.166034240000002, -118.62329882)","(34.167034170000001, -118.62330165)"
MICHELTORENA ST,HAMILTON WAY,13,1,08/27/2013,1,08/11/2013,1,08/20/2013,0,,0,,,
FOX ST,STANWIN AV,7,1,09/27/2013,0,,1,09/26/2013,1,09/26/2013,0,,"(34.266841990000003, -118.45262124)","(34.266178959999998, -118.45352991999999)"
FOX ST,BARTEE AV,7,1,09/24/2013,1,09/24/2013,0,,0,,0,,"(34.268483850000003, -118.45037015)","(34.26751179, -118.45170287000001)"
Q ST,MCDONALD AV,15,1,04/03/2014,1,04/02/2014,1,04/01/2014,1,04/01/2014,0,,"(33.794926789999998, -118.2721588)","(33.794873070000001, -118.27318452)"
ALDAMA TER,RAPHAEL ST,1,0,,0,,1,04/03/2014,1,04/03/2014,0,,,
MYRNA ST,BILOXI AV,2,1,04/09/2014,0,,1,04/09/2014,0,,0,,,
CUMPSTON ST,BILOXI AV,2,1,04/07/2014,0,,1,04/08/2014,1,04/08/2014,0,,"(34.170088499999999, -118.35833192)","(34.169993079999998, -118.35936658999999)"
CHALMERS DR,BEDFORD ST,5,0,,1,04/02/2014,0,,1,04/02/2014,0,,"(34.06093542, -118.38026601999999)","(34.060932489999999, -118.38135518)"
CHALMERS DR,SHERBOURNE DR,5,1,04/03/2014,1,04/03/2014,0,,1,04/04/2014,0,,"(34.06093808, -118.37927547)","(34.06093542, -118.38026601999999)"
R ST,BAY VIEW AV,15,1,04/16/2014,0,,1,04/16/2014,0,,0,,"(33.796515139999997, -118.27120823)","(33.796456810000002, -118.27227886)"
TENNESSEE AV,COTNER AV,5,0,,0,,1,02/27/2014,0,,0,,,
Q ST,BAY VIEW AV,15,1,04/10/2014,1,04/03/2014,1,04/08/2014,1,04/08/2014,0,,"(33.79498512, -118.27108821)","(33.794926789999998, -118.2721588)"
R ST,MCDONALD AV,15,0,,0,,1,04/14/2014,1,04/14/2014,0,,"(33.796456810000002, -118.27227886)","(33.796431499999997, -118.27329134)"
SHANLEY AV,MONTE VISTA ST,1,1,04/04/2014,0,,1,04/07/2014,1,04/04/2014,0,,"(34.105873719999998, -118.20604055)","(34.106653430000001, -118.20659671999999)"
SHANLEY AV,MARMION WAY,1,0,,1,04/07/2014,0,,1,04/07/2014,0,,,
CHALMERS DR,HOLT AV,5,1,04/07/2014,1,04/07/2014,1,04/08/2014,0,,0,,"(34.060940780000003, -118.37828431)","(34.06093808, -118.37927547)"
VALLEYHEART DR,FULTON AV,4,0,,0,,1,04/17/2014,0,,0,,"(34.14904207, -118.42250158)","(34.150354630000002, -118.42468435000001)"
BELLAIRE AV,CHARLESWORTH AV,2,0,,0,,0,,1,04/21/2014,0,,"(34.186675710000003, -118.40941932)","(34.186854310000001, -118.40941936)"
BELLAIRE AV,GILMORE ST,2,1,04/15/2014,0,,1,04/16/2014,0,,0,,"(34.187164879999997, -118.40941941)","(34.187574189999999, -118.40907108)"
SANDISON ST,BAY VIEW AV,15,1,04/22/2014,1,04/22/2014,1,04/21/2014,1,04/21/2014,0,,"(33.792901190000002, -118.27092475000001)","(33.792842960000002, -118.2719953)"
SANDISON ST,NEPTUNE AV,15,1,04/28/2014,1,04/28/2014,1,04/29/2014,1,04/29/2014,0,,"(33.792958929999998, -118.26986272000001)","(33.792901190000002, -118.27092475000001)"
