Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total
ANGELES VISTA BL,S/O,STOCKER ST,AUT,SR,May 19 2013,SUN,0,0,1191,2207,3398
ANGELES VISTA BL,S/O ,STOCKER ST,AUT,SR,May 18 2013,SAT,0,0,1742,3141,4883
ANGUS ST,W/O,LAKE WOOD AV,AUTO,HW,October 03 2013,THU,634,303,0,0,937
ANGUS ST,AT,W SILVERLAKE DR,AUTO ,HW,October 03 2013,THU,684,1674,0,0,2358
APPLEBY ST,N/O,LAKE ST,AUTO,CR,January 29 2013,TUE,0,0,12620,0,12620
ARBOR VITAE ST,AT,AVIATION BL,AUTO,CR,January 24 2011,MON,6773,11289,,,18062
ARCADIA ST,AT,LOS ANGELES ST,AUTO,CR,December 09 2011,THU,5879,5903,,,11782
ARCADIA ST,W/O ,ALAMEDA ST,AUTO,CR,March 12 2014,WED,11787,0,0,0,11787
ARCADIA ST,AT,N MAIN ST,MAN,CR,December 05 2012,WED,13999,0,0,0,13999
ARCADIA ST,AT,LOS ANGELES ST  ,MAN,CR,December 06 2012,THU,16220,0,0,0,16220
ARCADIA ST,AT,N MAIN ST,AUTO,CR,January 24 2011,MON,11127,7068,,,18195
ARLETA AV,AT,VAN NUYS BL,MAN,WR,March 22 2012,THU,0,0,2919,4188,7107
ARLETA AV,AT,PAXTON ST,MAN,EV,October 31 2013,THU,0,0,7151,2660,9811
ARLETA AV,AT,VAN NUYS BL,MAN,CR,April 21 2011,THU,7313,4070,,,11383
ARLINGTON AV,AT,24 th ST,MAN,HW,October 09 2013,WED,0,0,12991,11790,24781
ARLINGTON AV,AT,VENICE BL,MAN,WR,October 27 2011,THU,,,14763,10965,25728
ARLINGTON AV,AT,24 th ST,AUTO,HW,August 29 2013,THU,0,0,14032,16867,30899
ARMINITA ST,AT,VAN NUYS BL,AUTO,WR,September 27 2011,TUE,,,13419,13845,27264
ARMSTRONG AV,E/O ,W SILVERLAKE DR,MAN,CR,December 20 2012,THU,0,425,0,0,425
ART ST ,AT,ORCAS AV,AUTO,CR,December 18 2012,TUE,475,470,0,0,945
ART ST ,AT ,WHEATLAND DR,AUTO,CR,June 07 2011,TUE,818,602,,,1420
ART ST ,AT ,STONEHURST AV,AUTO,WV,February 07 2011,MON,,,20927,17902,38829
ATHENS BL,AT,HOOVER ST,AUT,SR,March 28 2013,THU,311,464,0,0,775
AVALON AV,AT,SLAUSON AV,MAN,EV,April 20 2011,WED,29008,,,,29008
AVALON BL,S/O,JEFFERSON BL,AUTO,EV,April 01 2011,FRI,,,1283,977,2260
AVALON BL,N/O,36 th ST ( NORTH LEG ),AUTO,CR,September 26 2013,THU,0,0,11948,9139,21087
AVALON BL,AT,42 nd PL,MAN,CR,January 09 2014,THU,0,0,13118,8394,21512
AVALON BL ,AT,JEFFERSON BL,MAN,EV,April 05 2011,TUE,,,959,954,1913
