Year,Period,Area,Unemployment Rate,Labor Force,Employment,Unemployment,Adjusted,Preliminary
1997,Feb,Los Angeles County,7.6%,4366700,4034200,332600,Not Adj,Not Prelim
1997,Mar,California,7.1%,15701300,14593800,1107500,Not Adj,Not Prelim
1997,Mar,Los Angeles County,7.4%,4390300,4065700,324600,Not Adj,Not Prelim
1997,Apr,California,6.3%,15629700,14639100,990600,Not Adj,Not Prelim
1997,Apr,Los Angeles County,6.9%,4369100,4069700,299400,Not Adj,Not Prelim
1997,May,California,6%,15661800,14725800,936100,Not Adj,Not Prelim
1997,May,Los Angeles County,6.6%,4371100,4082600,288500,Not Adj,Not Prelim
1997,Jun,California,6.4%,15767900,14758900,1009000,Not Adj,Not Prelim
1997,Jun,Los Angeles County,7%,4376000,4069300,306700,Not Adj,Not Prelim
1997,Jul,California,6.7%,15926900,14867300,1059500,Not Adj,Not Prelim
1997,Jul,Los Angeles County,7.4%,4458000,4127800,330100,Not Adj,Not Prelim
1997,Aug,California,6.2%,15941600,14946600,995000,Not Adj,Not Prelim
1997,Aug,Los Angeles County,7%,4468400,4154600,313700,Not Adj,Not Prelim
1997,Sep,California,6.1%,15878600,14909500,969100,Not Adj,Not Prelim
1997,Sep,Los Angeles County,6.8%,4467300,4164100,303100,Not Adj,Not Prelim
1997,Oct,California,5.9%,15930000,14991700,938300,Not Adj,Not Prelim
1997,Oct,Los Angeles County,6.3%,4468300,4186300,281900,Not Adj,Not Prelim
1997,Nov,California,5.7%,15936700,15020500,916200,Not Adj,Not Prelim
1997,Nov,Los Angeles County,6%,4475100,4207300,267800,Not Adj,Not Prelim
1997,Dec,California,5.8%,15974500,15053100,921400,Not Adj,Not Prelim
1997,Dec,Los Angeles County,6%,4510900,4241400,269600,Not Adj,Not Prelim
1996,Jan,California,8.5%,15227700,13928200,1299500,Not Adj,Not Prelim
1996,Jan,Los Angeles County,9.1%,4274400,3885100,389300,Not Adj,Not Prelim
1996,Feb,California,8.199999999999999%,15309400,14059500,1250000,Not Adj,Not Prelim
1996,Feb,Los Angeles County,8.800000000000001%,4302500,3924000,378500,Not Adj,Not Prelim
1996,Mar,California,8%,15339600,14109300,1230300,Not Adj,Not Prelim
1996,Mar,Los Angeles County,8.699999999999999%,4306500,3930700,375800,Not Adj,Not Prelim
1996,Apr,California,7.5%,15259700,14117900,1141800,Not Adj,Not Prelim
1996,Apr,Los Angeles County,8.4%,4271100,3912100,359000,Not Adj,Not Prelim
1996,May,California,7.2%,15313700,14216900,1096800,Not Adj,Not Prelim
1996,May,Los Angeles County,8.4%,4284000,3925600,358300,Not Adj,Not Prelim
1996,Jun,California,7.1%,15395500,14296600,1098800,Not Adj,Not Prelim
1996,Jun,Los Angeles County,8.199999999999999%,4274000,3921500,352400,Not Adj,Not Prelim
1996,Jul,California,7.8%,15593500,14384600,1208900,Not Adj,Not Prelim
1996,Jul,Los Angeles County,9.1%,4361100,3964300,396800,Not Adj,Not Prelim
1996,Aug,California,6.9%,15528700,14459000,1069700,Not Adj,Not Prelim
1996,Aug,Los Angeles County,8.1%,4341600,3989600,352000,Not Adj,Not Prelim
1996,Sep,California,6.7%,15503400,14462200,1041200,Not Adj,Not Prelim
1996,Sep,Los Angeles County,7.8%,4363900,4025000,338900,Not Adj,Not Prelim
1996,Oct,California,6.7%,15609500,14563300,1046200,Not Adj,Not Prelim
1996,Oct,Los Angeles County,7.7%,4376500,4041000,335600,Not Adj,Not Prelim
1996,Nov,California,6.9%,15595700,14513900,1081800,Not Adj,Not Prelim
1996,Nov,Los Angeles County,7.6%,4376700,4043000,333600,Not Adj,Not Prelim
1996,Dec,California,6.6%,15554500,14530800,1023700,Not Adj,Not Prelim
1996,Dec,Los Angeles County,7.1%,4364000,4052100,311900,Not Adj,Not Prelim
1995,Jan,California,8.5%,15169800,13878100,1291700,Not Adj,Not Prelim
1995,Jan,Los Angeles County,8.5%,4260200,3899500,360600,Not Adj,Not Prelim
1995,Feb,California,8.1%,15196900,13970700,1226200,Not Adj,Not Prelim
1995,Feb,Los Angeles County,7.9%,4284000,3946300,337700,Not Adj,Not Prelim
1995,Mar,California,8%,15186900,13978700,1208200,Not Adj,Not Prelim
1995,Mar,Los Angeles County,7.6%,4256900,3932800,324200,Not Adj,Not Prelim
1995,Apr,California,7.9%,15187700,13989800,1197900,Not Adj,Not Prelim
1995,Apr,Los Angeles County,7.6%,4250800,3929300,321600,Not Adj,Not Prelim
1995,May,California,7.7%,15149000,13989700,1159400,Not Adj,Not Prelim
1995,May,Los Angeles County,7.5%,4239300,3923400,315900,Not Adj,Not Prelim
1995,Jun,California,7.9%,15244500,14044200,1200300,Not Adj,Not Prelim
1995,Jun,Los Angeles County,7.9%,4249200,3914400,334800,Not Adj,Not Prelim
1995,Jul,California,8.4%,15437200,14137800,1299400,Not Adj,Not Prelim
1995,Jul,Los Angeles County,8.800000000000001%,4312200,3933300,378800,Not Adj,Not Prelim
1995,Aug,California,7.8%,15379300,14172200,1207200,Not Adj,Not Prelim
1995,Aug,Los Angeles County,8.5%,4293900,3929900,363900,Not Adj,Not Prelim
1995,Sep,California,7.6%,15302900,14135300,1167600,Not Adj,Not Prelim
1995,Sep,Los Angeles County,8.300000000000001%,4304800,3949600,355200,Not Adj,Not Prelim
1995,Oct,California,7.5%,15363200,14207400,1155800,Not Adj,Not Prelim
1995,Oct,Los Angeles County,8%,4325500,3978500,347000,Not Adj,Not Prelim
1995,Nov,California,7.8%,15317800,14130600,1187200,Not Adj,Not Prelim
1995,Nov,Los Angeles County,8.199999999999999%,4313800,3960500,353300,Not Adj,Not Prelim
1995,Dec,California,7.3%,15227800,14114000,1113900,Not Adj,Not Prelim
1995,Dec,Los Angeles County,7.8%,4299200,3965700,333500,Not Adj,Not Prelim
1994,Jan,California,10%,15257500,13728600,1528900,Not Adj,Not Prelim
1994,Jan,Los Angeles County,10.4%,4286300,3840400,445900,Not Adj,Not Prelim
1994,Feb,California,9.800000000000001%,15300800,13804600,1496200,Not Adj,Not Prelim
1994,Feb,Los Angeles County,10.1%,4306300,3870400,435900,Not Adj,Not Prelim
1994,Mar,California,9.4%,15241100,13802400,1438700,Not Adj,Not Prelim
1994,Mar,Los Angeles County,9.800000000000001%,4284100,3862600,421400,Not Adj,Not Prelim
1994,Apr,California,8.9%,15180200,13836200,1344000,Not Adj,Not Prelim
1994,Apr,Los Angeles County,9.6%,4265800,3857900,407900,Not Adj,Not Prelim
1994,May,California,8.300000000000001%,15224700,13959100,1265700,Not Adj,Not Prelim
1994,May,Los Angeles County,9.300000000000001%,4278000,3881800,396200,Not Adj,Not Prelim
1994,Jun,California,8.699999999999999%,15267700,13946300,1321400,Not Adj,Not Prelim
