APC,CPA,Geographic Area,Case Type,Case Number,Date Filed,Date Completed                                                                                                                                                                                                                                                 
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-1668-SPP-SPPA-1A                                    , 03-Oct-2013 , 14-Nov-2013                                                                                                                                                           
C          , Hollywood                                                                   , UNKNOWN                                                                                              , ZA                                                           , ZA-2012-2752-CUB-1A                                          , 20-Mar-2013 ,                                                                                                                                                                       
W          , Venice                                                                      , WEST                                                                                                 , VTT                                                          , VTT-70870-SL-1A                                              , 30-Sep-2013 , 23-Dec-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2012-2218-DB-1A                                          , 09-Apr-2013 , 16-Oct-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , DIR                                                          , DIR-2012-3128-COA-1A                                         , 14-Feb-2013 , 10-Jul-2013                                                                                                                                                           
NV         , Sun Valley - La Tuna Canyon                                                 , NORTH VALLEY                                                                                         , DIR                                                          , DIR-2012-1384-RV-1A                                          , 14-Mar-2013 ,                                                                                                                                                                       
W          , West Los Angeles                                                            , WEST                                                                                                 , DIR                                                          , DIR-2012-2226-DB-1A                                          , 05-Dec-2013 ,                                                                                                                                                                       
W          , Venice                                                                      , WEST                                                                                                 , ZA                                                           , ZA-2013-1420-CDP-2A                                          , 30-Dec-2013 ,                                                                                                                                                                       
SV         , Bel Air - Beverly Crest                                                     , WEST                                                                                                 , ENV                                                          , ENV-2012-2557-CE-1A                                          , 17-Jun-2013 ,                                                                                                                                                                       
S          , South Los Angeles                                                           , SOUTH                                                                                                , ENV                                                          , ENV-2013-3309-ND                                             , 22-Oct-2013 , 26-Feb-2014                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , ENV                                                          , ENV-2013-1772-CE                                             , 13-Jun-2013 , 14-Aug-2013                                                                                                                                                           
S          , Southeast Los Angeles                                                       , SOUTH                                                                                                , ENV                                                          , ENV-2013-1968-CE                                             , 28-Jun-2013 ,                                                                                                                                                                       
SV         , Bel Air - Beverly Crest                                                     , SOUTH VALLEY                                                                                         , ENV                                                          , ENV-2013-3667-CE                                             , 14-Nov-2013 ,                                                                                                                                                                       
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ENV                                                          , ENV-2013-2509-CE                                             , 15-Aug-2013 ,                                                                                                                                                                       
C          , Wilshire                                                                    , WILSHIRE                                                                                             , ENV                                                          , ENV-2013-2742-CE                                             , 04-Sep-2013 , 20-Nov-2013                                                                                                                                                           
