Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Complaint - LAPD (How to Make a Complaint) - The City of Los Angeles,84,75,196.72,62,62.9%,57.14%
Megan's Law - LAPD - The City of Los Angeles,82,73,164.31,71,85.92%,80.49%
Collection of Excess Brush and Yard Trimmings - The City of Los Angeles,81,76,245.22,21,85.71%,66.67%
Council District 8 - The City of Los Angeles,81,72,196.56,59,67.8%,66.67%
Golf Reservations - The City of Los Angeles,80,61,146.91,53,54.72%,58.75%
Dispute Resolution - The City of Los Angeles,79,58,75.17,45,44.44%,39.24%
Training Division - LAPD (Elysian Park) - The City of Los Angeles,79,75,170.21,72,84.72%,82.28%
Conventional Public Housing (Permanent) - The City of Los Angeles,78,61,261.08,52,75%,67.95%
Council District 14 - The City of Los Angeles,78,73,205.52,55,80%,73.08%
Service Detail - The City of Los Angeles,78,64,32.31,29,62.07%,33.33%
Permits for Encroachment on Public Right of Ways - R Permit - The City of Los Angeles,77,64,186.34,40,65%,46.75%
Zoopendous Nights - The City of Los Angeles,77,70,162.54,66,89.39%,83.12%
Hyperion Treatment Plant Tours - The City of Los Angeles,74,66,124.83,54,77.78%,67.57%
LA City Real Estate and Asset Management - The City of Los Angeles,73,59,206.08,38,81.58%,64.38%
Plan Check - The City of Los Angeles,73,67,85.84,43,67.44%,56.16%
Q Conditions -- Information and Sign-Off Clearance - The City of Los Angeles,73,67,391.38,62,88.71%,89.04%
Parcel Profile Report - The City of Los Angeles,72,67,188.59,50,86%,76.39%
Retirement Benefits - The City of Los Angeles,72,63,87.35,11,54.55%,40.28%
Cityride - The City of Los Angeles,71,59,200.64,53,69.81%,64.79%
Youth Programs - LAPD - The City of Los Angeles,71,65,202.67,55,87.27%,78.87%
Hazardous Materials (CUPA) - The City of Los Angeles,69,55,132.75,48,56.25%,53.62%
Los Angeles Fire Department Brush Clearance Web Payment - The City of Los Angeles,69,57,177.59,36,58.33%,50.72%
Open bids & RFP's - LAX - The City of Los Angeles,69,57,47.03,27,77.78%,47.83%
"Constituent Service, Office of the Mayor - The City of Los Angeles",68,61,153.91,32,62.5%,48.53%
Curbside Passenger Pickup/Dropoff - LAX - The City of Los Angeles,68,63,42.43,62,90.32%,89.71%
Housing Authority of City of Los Angeles (HACLA) - Comments/Complaints - The City of Los Angeles,68,54,190.89,51,60.78%,58.82%
La Ciudad de Los Angeles,68,51,61.26,50,54%,54.41%
Permit for Major Right of Way Construction - B Permit - The City of Los Angeles,67,61,178.38,35,71.43%,56.72%
A cidade de Los Angeles,66,49,68.04,48,60.42%,62.12%
Elysian Park - The City of Los Angeles,66,62,59.27,48,87.5%,77.27%
Overload Permits - The City of Los Angeles,66,53,281.47,14,57.14%,71.21%
Supply Division - LAPD - The City of Los Angeles,66,65,104.27,60,90%,83.33%
Damaged Traffic Signals or Stop Signs - The City of Los Angeles,65,58,114.15,13,92.31%,58.46%
Fire Dept. No-Smoking Ordinance Enforcement - The City of Los Angeles,65,56,242.91,46,71.74%,64.62%
"Mayor, Council, Controller, City Attorney Offices - The City of Los Angeles",65,56,65.73,5,40%,9.23%
"Port of LA (Harbor Department) Contracts, Bids, and Purchase Orders - The City of Los Angeles",65,54,64.1,43,58.14%,53.85%
Regularly scheduled rental housing code enforcement inspections (SCEP) - The City of Los Angeles,65,57,113.64,24,62.5%,56.92%
Search Registered Lobbyists - The City of Los Angeles,65,57,228.93,48,85.42%,76.92%
"Acceptance of Subpoenas, Fire Reports, and Arson Information - The City of Los Angeles",63,51,100.6,16,37.5%,36.51%
Building and Safety Inspection Scheduling - The City of Los Angeles,63,54,86.59,34,70.59%,65.08%
Elevator Code Questions and Complaints - The City of Los Angeles,63,53,135.84,35,65.71%,60.32%
Motor Transport Division - LAPD - The City of Los Angeles,63,55,99.94,47,78.72%,71.43%
Solid Waste Collection Services - The City of Los Angeles,63,59,158.41,9,77.78%,57.14%
Valley Region Headquarters - The City of Los Angeles,62,55,174.74,47,78.72%,69.35%
Currency Exchange -- LAX - The City of Los Angeles,61,56,195.29,56,87.5%,88.52%
Die Stadt Los Angeles,61,51,47.61,49,65.31%,70.49%
Green Building Plan Check and Inspection - The City of Los Angeles,61,55,50.35,41,82.93%,72.13%
Sewer Permit - S Permit - The City of Los Angeles,61,51,139.17,32,78.13%,62.3%
Civic Center Area Parking Lots - The City of Los Angeles,60,51,258.89,42,78.57%,70%
Construction Contract Bidding Opportunities - The City of Los Angeles,60,53,82.08,38,63.16%,56.67%
Industrial Wastewater Permit - The City of Los Angeles,60,51,160.59,37,56.76%,51.67%
Move In-Move Out Extra Trash Collection Services - The City of Los Angeles,60,56,87.92,15,86.67%,56.67%
Day Laborer Program (Hiring Sites) - The City of Los Angeles,59,54,105.98,4,100%,22.03%
La ville de Los Angeles,59,52,50.87,51,72.55%,74.58%
Personnel Department Employment Verification - The City of Los Angeles,59,55,35.12,26,88.46%,57.63%
Electronic Waste (E-Waste) - The City of Los Angeles,58,48,144.55,17,76.47%,50%
Engineering Review of Conditional Use Permits - The City of Los Angeles,58,49,95.72,17,64.71%,37.93%
Public Easement and Street Vacation - The City of Los Angeles,58,44,128.35,34,61.76%,55.17%
