DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Arrival,International,Scheduled Carriers,3049
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Departure,Domestic,Charter,613
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Departure,Domestic,Commuter,9645
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Departure,Domestic,Scheduled Carriers,196386
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,3248
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Arrival,Domestic,Charter,395
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Arrival,Domestic,Commuter,8566
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,170969
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,3577
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Departure,Domestic,Charter,170
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Departure,Domestic,Commuter,8860
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,169160
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Departure,International,Scheduled Carriers,3230
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Arrival,Domestic,Charter,126
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Arrival,Domestic,Commuter,7622
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,162570
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Arrival,International,Charter,42
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,2732
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Departure,Domestic,Charter,126
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Departure,Domestic,Commuter,7686
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,161713
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Departure,International,Charter,274
05/01/2014 12:00:00 AM,02/01/2009 12:00:00 AM,Departure,International,Scheduled Carriers,2562
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Arrival,Domestic,Charter,438
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Arrival,Domestic,Commuter,9328
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,194904
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Arrival,International,Charter,51
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,3116
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Departure,Domestic,Charter,209
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Departure,Domestic,Commuter,9680
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,195680
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Departure,International,Charter,379
05/01/2014 12:00:00 AM,03/01/2009 12:00:00 AM,Departure,International,Scheduled Carriers,2960
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Arrival,Domestic,Charter,272
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Arrival,Domestic,Commuter,5067
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,201440
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,3246
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Departure,Domestic,Charter,649
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Departure,Domestic,Commuter,5429
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,204895
05/01/2014 12:00:00 AM,04/01/2009 12:00:00 AM,Departure,International,Scheduled Carriers,3156
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Arrival,Domestic,Charter,487
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Arrival,Domestic,Commuter,4962
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,201112
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,2688
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Departure,Domestic,Charter,436
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Departure,Domestic,Commuter,5023
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,200440
05/01/2014 12:00:00 AM,05/01/2009 12:00:00 AM,Departure,International,Scheduled Carriers,2736
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Arrival,Domestic,Charter,211
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Arrival,Domestic,Commuter,5104
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,206584
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,2126
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Departure,Domestic,Charter,342
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Departure,Domestic,Commuter,5163
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,208917
05/01/2014 12:00:00 AM,06/01/2009 12:00:00 AM,Departure,International,Scheduled Carriers,2952
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Arrival,Domestic,Charter,839
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Arrival,Domestic,Commuter,5006
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,205728
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,3326
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Departure,Domestic,Charter,577
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Departure,Domestic,Commuter,5687
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,207498
05/01/2014 12:00:00 AM,07/01/2009 12:00:00 AM,Departure,International,Scheduled Carriers,3655
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Arrival,Domestic,Charter,663
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Arrival,Domestic,Commuter,12023
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,200960
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,3555
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Departure,Domestic,Charter,400
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Departure,Domestic,Commuter,12526
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,198937
05/01/2014 12:00:00 AM,08/01/2009 12:00:00 AM,Departure,International,Scheduled Carriers,3054
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Arrival,Domestic,Charter,213
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Arrival,Domestic,Commuter,9407
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,181365
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Arrival,International,Charter,64
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,2050
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Departure,Domestic,Charter,335
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Departure,Domestic,Commuter,9394
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,180600
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Departure,International,Scheduled Carriers,2234
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Arrival,Domestic,Charter,450
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Arrival,Domestic,Commuter,10077
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,197041
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,2436
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Departure,Domestic,Charter,976
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Departure,Domestic,Commuter,10327
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,191972
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Departure,International,Scheduled Carriers,2866
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Arrival,Domestic,Charter,86
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Arrival,Domestic,Commuter,11562
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,184643
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,1968
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Departure,Domestic,Charter,88
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Departure,Domestic,Commuter,17344
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,183486
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Departure,International,Scheduled Carriers,2334
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Arrival,Domestic,Charter,86
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Arrival,Domestic,Commuter,11841
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,186504
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,1983
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Departure,Domestic,Charter,86
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Departure,Domestic,Commuter,12183
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,182433
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Departure,International,Scheduled Carriers,2937
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Arrival,Domestic,Charter,2255
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Arrival,Domestic,Commuter,10370
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,167629
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Arrival,International,Scheduled Carriers,2509
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Departure,Domestic,Charter,2196
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Departure,Domestic,Commuter,10589
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Departure,Domestic,Scheduled Carriers,166855
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Departure,International,Scheduled Carriers,2419
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Arrival,Domestic,Charter,623
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Arrival,Domestic,Commuter,9663
