DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Departure,Domestic,Freight,37997
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Departure,Domestic,Mail,1739
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Departure,International,Freight,29604
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Departure,International,Mail,1206
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Arrival,Domestic,Freight,42067
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Arrival,Domestic,Mail,1870
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Arrival,International,Freight,55684
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Arrival,International,Mail,860
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Departure,Domestic,Freight,42456
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Departure,Domestic,Mail,2279
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Departure,International,Freight,36683
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Departure,International,Mail,1241
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Arrival,Domestic,Freight,34697
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Arrival,Domestic,Mail,1889
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Arrival,International,Freight,51087
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Arrival,International,Mail,722
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Departure,Domestic,Freight,38586
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Departure,Domestic,Mail,2111
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Departure,International,Freight,33383
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Departure,International,Mail,1106
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Arrival,Domestic,Freight,36143
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Arrival,Domestic,Mail,1255
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Arrival,International,Freight,50632
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Arrival,International,Mail,736
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Departure,Domestic,Freight,40136
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Departure,Domestic,Mail,1649
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Departure,International,Freight,34863
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Departure,International,Mail,1118
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Arrival,Domestic,Freight,36339
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Arrival,Domestic,Mail,1230
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Arrival,International,Freight,52102
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Arrival,International,Mail,680
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Departure,Domestic,Freight,39552
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Departure,Domestic,Mail,1977
